year,metric,value
1980,平均年収,256.0
1980,物価指数,73.2
1982,平均年収,272.0
1982,物価指数,78.9
1984,平均年収,296.0
1984,物価指数,82.2
1986,平均年収,311.0
1986,物価指数,84.3
1988,平均年収,343.0
1988,物価指数,85.0
1990,平均年収,370.0
1990,物価指数,89.6
1992,平均年収,407.0
1992,物価指数,94.2
1994,平均年収,431.0
1994,物価指数,96.0
1996,平均年収,461.0
1996,物価指数,96.0
1998,平均年収,465.0
1998,物価指数,98.3
2000,平均年収,461.0
2000,物価指数,97.3
2002,平均年収,448.0
2002,物価指数,95.8
2004,平均年収,438.0
2004,物価指数,95.5
2006,平均年収,435.0
2006,物価指数,95.5
2008,平均年収,430.0
2008,物価指数,96.8
2010,平均年収,412.0
2010,物価指数,94.8
2012,平均年収,408.0
2012,物価指数,94.5
2014,平均年収,415.0
2014,物価指数,97.4
2016,平均年収,422.0
2016,物価指数,98.1
2018,平均年収,441.0
2018,物価指数,99.6
2020,平均年収,433.0
2020,物価指数,100.0
2022,平均年収,458.0
2022,物価指数,102.3
2024,平均年収,478.0
2024,物価指数,108.5
2025,物価指数,112.1
