year,平均年収(1980=100),物価指数(1980=100),平均年収(1980=100)_actual
1980,100.0,100.0,256.0
1982,107.8,106.2,272.0
1984,112.3,115.6,296.0
1986,115.2,121.5,311.0
1988,116.1,134.0,343.0
1990,122.4,144.5,370.0
1992,128.7,159.0,407.0
1994,131.1,168.4,431.0
1996,131.1,180.1,461.0
1998,134.3,181.6,465.0
2000,132.9,180.1,461.0
2002,130.9,175.0,448.0
2004,130.5,171.1,438.0
2006,130.5,169.9,435.0
2008,132.2,168.0,430.0
2010,129.5,160.9,412.0
2012,129.1,159.4,408.0
2014,133.1,162.1,415.0
2016,134.0,164.8,422.0
2018,136.1,172.3,441.0
2020,136.6,169.1,433.0
2022,139.8,178.9,458.0
2024,148.2,186.7,478.0
